14:38:26 INFO  : Launching XSCT server: xsct.bat -n  -interactive C:\VivadoProjects\zybo_perceptron\temp_xsdb_launch_script.tcl
14:38:26 INFO  : Registering command handlers for Vitis TCF services
14:38:28 INFO  : Platform repository initialization has completed.
14:38:28 INFO  : XSCT server has started successfully.
14:38:28 INFO  : Successfully done setting XSCT server connection channel  
14:38:28 INFO  : plnx-install-location is set to ''
14:38:28 INFO  : Successfully done query RDI_DATADIR 
14:38:28 INFO  : Successfully done setting workspace for the tool. 
14:39:22 INFO  : Result from executing command 'getProjects': system_wrapper
14:39:22 INFO  : Result from executing command 'getPlatforms': 
14:39:22 INFO  : Platform 'system_wrapper' is added to custom repositories.
14:39:28 INFO  : Platform 'system_wrapper' is added to custom repositories.
14:40:23 INFO  : Result from executing command 'getProjects': system_wrapper
14:40:23 INFO  : Result from executing command 'getPlatforms': system_wrapper|C:/VivadoProjects/zybo_perceptron/system_wrapper/export/system_wrapper/system_wrapper.xpfm
14:40:23 INFO  : Checking for BSP changes to sync application flags for project 'ps_init'...
